Opportunity Name,Organization/Household Name: Organization/Household Name,Opportunity Record Type,Project: Project Name,Proposal Submission Date,Won Proposal,Opportunities Count,Project: Country Program: Country Program Name,Project: Research Not Managed by IPA,Allocation Type,Original Close Date,pi_position,pi_name
BMG-19-10001 FIP Consumer Protection,Gates Foundation,Grant Award,Detecting and preventing commission and account opening overcharging - Uganda,8/29/2019,1,1,Uganda,0.0,Internal Subaward,10/30/2019,pi1,Tomoki Fujii
BMG-19-10001 FIP Consumer Protection,Gates Foundation,Grant Award,Detecting and preventing commission and account opening overcharging - Uganda,8/29/2019,1,1,Uganda,0.0,Internal Subaward,10/30/2019,pi2,Abu S. Shonchoy
BMG-19-10001 FIP Consumer Protection,Gates Foundation,Grant Award,Detecting and preventing commission and account opening overcharging-Bangladesh,8/29/2019,1,1,Bangladesh,0.0,External Subaward,10/30/2019,pi1,Tomoki Fujii
TFG0088: Detection of soil-transmitted helminth infections in Kenyan children,"Task Force for Global Health, Inc,",Grant Award,Detection of soil-transmitted helminth infections in Kenyan children,1/8/2016,1,1,Kenya,0.0,,5/5/2016,pi1,Amy Pickering
TFG0088: Detection of soil-transmitted helminth infections in Kenyan children,"Task Force for Global Health, Inc,",Grant Award,Detection of soil-transmitted helminth infections in Kenyan children,1/8/2016,1,1,Kenya,0.0,,5/5/2016,pi2,Clair Null
GI-ACE June 2023 Determinants of Informal Trade Flows,Global Integrity Anti-Corruption Evidence (GI-ACE),Grant Proposal,Determinants of Informal Trade Flows,7/3/2023,0,1,Kenya,0.0,Allocation,7/3/2023,pi1,Eleanor Wiseman
JCF-20-10003 - Research & Evaluation of a Learning Agenda for Parenting Interventions (Côte d?Ivoire),Jacobs Foundation,Grant Award,Development of a Research & Evaluation Learning Agenda for Parenting Interventio,12/20/2019,1,1,Francophone West Africa,0.0,Allocation,9/24/2020,pi1,Karen Macours
WEL-21-10013 - Impact Fund and Scaling Evidence Use Program (Multiple Countries),Wellspring Philanthropic Fund,Grant Award,Development of an Embedded lab with the Ministry of Health in Peru,7/6/2021,1,1,Peru,0.0,Allocation,10/7/2021,pi2,Sebastian Tello-Trillo
IDB-22-10049: IDB - Diagnósticos Territoriales DPS (Colombia),Inter-American Development Bank (IDB),Grant Award,Diagnósticos Territoriales (DT),8/5/2022,1,1,Colombia,0.0,Allocation,10/4/2022,pi1,Tara Slough
Uniti Smartphones proposal to DIV,United States Agency for International Development (USAID),Grant Proposal,Dialing for Dollars w/ Uniti,2/23/2022,0,1,Ghana,0.0,,9/30/2021,pi1,Dean Karlan
Uniti Smartphones proposal to DIV,United States Agency for International Development (USAID),Grant Proposal,Dialing for Dollars w/ Uniti,2/23/2022,0,1,Ghana,0.0,,9/30/2021,pi2,Christopher Udry
Financial diaries with microenterprises,Graduate Institute of International and Development Studies,Grant Proposal,Diaries and micro Enterprises survey,5/8/2019,0,1,Kenya,0.0,,5/8/2019,pi1,Lore Vandewalle
DigiFi: Linking Digital Identification to Social Protection in Kenya,University of Cape Town,Grant Award,DigiFi - Linking Digital Identification to Social Protection in Kenya,9/20/2019,1,1,Kenya,0.0,,3/9/2020,pi1,Gabriel Gabe Tourek
UCAT-20-10004 - Digital Identification for Poverty Alleviation Pilot Study (Malawi),University of Cape Town,Grant Award,Digifi Poverty Alleviation in Malawi,9/20/2019,1,1,Malawi,0.0,Allocation,11/3/2020,pi1,Pascaline Dupas
UCAT-20-10004 - Digital Identification for Poverty Alleviation Pilot Study (Malawi),University of Cape Town,Grant Award,Digifi Poverty Alleviation in Malawi,9/20/2019,1,1,Malawi,0.0,Allocation,11/3/2020,pi2,Jessica Goldberg
UCB0017 Digital Credit,"University of California, Berkeley",Grant Award,Digital Credit,5/30/2017,1,1,Malawi,0.0,,9/5/2017,pi1,Jonathan Robinson
UCB0017 Digital Credit,"University of California, Berkeley",Grant Award,Digital Credit,5/30/2017,1,1,Malawi,0.0,,9/5/2017,pi2,"Pascaline Dupas 
PhD Eilin Francis"
UCB0017 Digital Credit,"University of California, Berkeley",Grant Award,Digital Credit,5/30/2017,1,1,Malawi,0.0,,9/5/2017,pi3,Valentina Brailovskaya
CEGA DCO Proposal for Digital Credit Study with Lineru in Colombia,"University of California, Berkeley",Grant Proposal,Digital Credit Study with Lineru in Colombia,9/15/2017,0,1,Colombia,0.0,,9/15/2017,pi1,Jonathan Zinman
CEGA DCO Proposal for Digital Credit Study with Lineru in Colombia,"University of California, Berkeley",Grant Proposal,Digital Credit Study with Lineru in Colombia,9/15/2017,0,1,Colombia,0.0,,9/15/2017,pi2,Joshua Kim
CEGA DCO Proposal for Digital Credit Study with Lineru in Colombia,"University of California, Berkeley",Grant Proposal,Digital Credit Study with Lineru in Colombia,9/15/2017,0,1,Colombia,0.0,,9/15/2017,pi3,Hunt Allcott
CEGA DCO Proposal for Digital Credit Study with Lineru in Colombia,"University of California, Berkeley",Grant Proposal,Digital Credit Study with Lineru in Colombia,9/15/2017,0,1,Colombia,0.0,,9/15/2017,pi4,Dmitry Taubinsky
LIFT Proposal for Digital Financial Services for Rural Women in Myanmar,Livelihoods and Food Security Fund,Grant Proposal,Digital Financial Services for Rural Women in Myanmar,1/14/2019,0,1,Myanmar,0.0,,1/14/2019,pi1,Russell Toth
"Impacts of a Streamlined Health Clinic Management Information System on Clinic Performance, Organization, and Outcomes",International Growth Centre (IGC),Grant Proposal,Digital Health Records Myanmar,7/15/2018,0,1,Myanmar,0.0,,8/4/2018,pi1,Russell Toth
"Impacts of a Streamlined Health Clinic Management Information System on Clinic Performance, Organization, and Outcomes",International Growth Centre (IGC),Grant Proposal,Digital Health Records Myanmar,7/15/2018,0,1,Myanmar,0.0,,8/4/2018,pi2,Julia Driessen
JPAL DigiFi,J-PAL SA,Grant Proposal,Digital Identification for Poverty Alleviation in Malawi,1/31/2020,0,1,Malawi,0.0,,1/31/2020,pi1,Pascaline Dupas
JPAL DigiFi,J-PAL SA,Grant Proposal,Digital Identification for Poverty Alleviation in Malawi,1/31/2020,0,1,Malawi,0.0,,1/31/2020,pi2,Jessica Goldberg
Digital Interventions to Address Post-Contract Harassment and Over-Indebtedness Fears: An RCT with Women Entrepreneurs,Cornell University,Grant Proposal,Digital Interventions to Address Post-Contract Harassment and Over-Indebtedness,6/15/2025,0,1,Kenya,0.0,Allocation,6/15/2025,pi1,Shreya Atreyi Kankanhalli
Digital Interventions to Address Post-Contract Harassment and Over-Indebtedness Fears: An RCT with Women Entrepreneurs,Cornell University,Grant Proposal,Digital Interventions to Address Post-Contract Harassment and Over-Indebtedness,6/15/2025,0,1,Kenya,0.0,Allocation,6/15/2025,pi2,Stephen J. Anderson-MacDonald
BMG-24-10015: Consumer Protection Research Initiative II,Gates Foundation,Grant Award,Digital Payments Spillovers Consumer Reallocation and Flexible Credit,5/13/2024,1,1,,1.0,Allocation,7/15/2024,pi2,Rowan Clarke
UCB-19-20006: Colmados UCB Project Development Contribution (Dominican Republic),"University of California, Berkeley",Grant Award,Digital Sales and Inventory Data to Assess Creditworthiness of Microenterprises,9/6/2019,1,1,LAC-Other,0.0,,9/6/2019,pi1,Sean Higgins
UCB-19-20006: Colmados UCB Project Development Contribution (Dominican Republic),"University of California, Berkeley",Grant Award,Digital Sales and Inventory Data to Assess Creditworthiness of Microenterprises,9/6/2019,1,1,LAC-Other,0.0,,9/6/2019,pi2,Waldo Ojeda
CEN-20-10001 - BNR MM motivation qualitative study (Rwanda),Centre for Financial Regulation and Inclusion (CENFRI),Grant Award,Digital Transactions in Rwanda,6/1/2020,1,1,Rwanda,0.0,Allocation,8/5/2020,pi1,Isabelle Carboni
Digital financial services and female entrepreneurship: Experimental Evidence from Tanzania,BRAC Institute of Governance and Development,Grant Proposal,Digital financial services and female entrepreneurship (RCT),5/15/2024,0,1,Tanzania,0.0,Allocation,5/14/2024,pi1,Emma Riley
UCAT-20-10001 - JPAL DigiFI  Local Taxes and Fees (Uganda),University of Cape Town,Grant Award,Digitizing Revenue Collections in Northern Uganda,9/20/2019,1,1,Uganda,0.0,Allocation,11/4/2020,pi1,Anders Jensen
UCAT-20-10001 - JPAL DigiFI  Local Taxes and Fees (Uganda),University of Cape Town,Grant Award,Digitizing Revenue Collections in Northern Uganda,9/20/2019,1,1,Uganda,0.0,Allocation,11/4/2020,pi2,Gabriel Gabe Tourek
New Proposal for Digital G2P payment,Gates Foundation,Grant Proposal,Digitizing Social Benefits,7/31/2017,0,1,Bangladesh,0.0,,7/31/2017,pi2,Maliha Rahanaz
MIT-18-20001: Performance Scorecards and Government Service Delivery (Bangladesh),Massachusetts Institute of Technology (MIT),Grant Award,Digitizing citizen-state communication,9/20/2018,1,1,Bangladesh,0.0,,11/19/2018,pi1,Martin Mattsson
"MIT0019 The Governance, Crime, & Conflict Initiative (Peace & Recovery Program)",Massachusetts Institute of Technology (MIT),Grant Award,Dimensions of Conflict in Pastoral East Africa (Ethiopia),9/28/2015,1,1,,1.0,External Subaward,4/9/2018,pi1,Karlijn Morsink
"MIT0019 The Governance, Crime, & Conflict Initiative (Peace & Recovery Program)",Massachusetts Institute of Technology (MIT),Grant Award,Dimensions of Conflict in Pastoral East Africa (Ethiopia),9/28/2015,1,1,,1.0,External Subaward,4/9/2018,pi2,Tagel Gebrehiwot Gidey
"MIT0019 The Governance, Crime, & Conflict Initiative (Peace & Recovery Program)",Massachusetts Institute of Technology (MIT),Grant Award,Dimensions of Conflict in Pastoral East Africa (Ethiopia),9/28/2015,1,1,,1.0,External Subaward,4/9/2018,pi3,Chris Barrett
"MIT0019 The Governance, Crime, & Conflict Initiative (Peace & Recovery Program)",Massachusetts Institute of Technology (MIT),Grant Award,Dimensions of Conflict in Pastoral East Africa (Ethiopia),9/28/2015,1,1,,1.0,External Subaward,4/9/2018,pi4,Glenn Harrison
"MIT0019 The Governance, Crime, & Conflict Initiative (Peace & Recovery Program)",Massachusetts Institute of Technology (MIT),Grant Award,Dimensions of Conflict in Pastoral East Africa (Ethiopia),9/28/2015,1,1,,1.0,External Subaward,4/9/2018,pi5,Kelvin Shikuku
"MIT0019 The Governance, Crime, & Conflict Initiative (Peace & Recovery Program)",Massachusetts Institute of Technology (MIT),Grant Award,Dimensions of Conflict in Pastoral East Africa (Ethiopia),9/28/2015,1,1,,1.0,External Subaward,4/9/2018,pi6,Erwin Bulte
"MIT0019 The Governance, Crime, & Conflict Initiative (Peace & Recovery Program)",Massachusetts Institute of Technology (MIT),Grant Award,Dimensions of Conflict in Pastoral East Africa (Ethiopia),9/28/2015,1,1,,1.0,External Subaward,4/9/2018,pi7,Emma Rikken
"MIT0019 The Governance, Crime, & Conflict Initiative (Peace & Recovery Program)",Massachusetts Institute of Technology (MIT),Grant Award,Dimensions of Conflict in Pastoral East Africa (Ethiopia),9/28/2015,1,1,,1.0,External Subaward,4/9/2018,pi8,Nathaniel D. Jensen
"MIT0019 The Governance, Crime, & Conflict Initiative (Peace & Recovery Program)",Massachusetts Institute of Technology (MIT),Grant Award,Dimensions of Conflict in Pastoral East Africa (Kenya),9/28/2015,1,1,,1.0,External Subaward,4/9/2018,pi1,Karlijn Morsink
"MIT0019 The Governance, Crime, & Conflict Initiative (Peace & Recovery Program)",Massachusetts Institute of Technology (MIT),Grant Award,Dimensions of Conflict in Pastoral East Africa (Kenya),9/28/2015,1,1,,1.0,External Subaward,4/9/2018,pi10,Emma Rikken
"MIT0019 The Governance, Crime, & Conflict Initiative (Peace & Recovery Program)",Massachusetts Institute of Technology (MIT),Grant Award,Dimensions of Conflict in Pastoral East Africa (Kenya),9/28/2015,1,1,,1.0,External Subaward,4/9/2018,pi2,Tagel Gebrehiwot Gidey
"MIT0019 The Governance, Crime, & Conflict Initiative (Peace & Recovery Program)",Massachusetts Institute of Technology (MIT),Grant Award,Dimensions of Conflict in Pastoral East Africa (Kenya),9/28/2015,1,1,,1.0,External Subaward,4/9/2018,pi3,Glenn Harrison
"MIT0019 The Governance, Crime, & Conflict Initiative (Peace & Recovery Program)",Massachusetts Institute of Technology (MIT),Grant Award,Dimensions of Conflict in Pastoral East Africa (Kenya),9/28/2015,1,1,,1.0,External Subaward,4/9/2018,pi4,Chris Barrett
"MIT0019 The Governance, Crime, & Conflict Initiative (Peace & Recovery Program)",Massachusetts Institute of Technology (MIT),Grant Award,Dimensions of Conflict in Pastoral East Africa (Kenya),9/28/2015,1,1,,1.0,External Subaward,4/9/2018,pi5,Fred Zaal
"MIT0019 The Governance, Crime, & Conflict Initiative (Peace & Recovery Program)",Massachusetts Institute of Technology (MIT),Grant Award,Dimensions of Conflict in Pastoral East Africa (Kenya),9/28/2015,1,1,,1.0,External Subaward,4/9/2018,pi6,Polly Ericksen
"MIT0019 The Governance, Crime, & Conflict Initiative (Peace & Recovery Program)",Massachusetts Institute of Technology (MIT),Grant Award,Dimensions of Conflict in Pastoral East Africa (Kenya),9/28/2015,1,1,,1.0,External Subaward,4/9/2018,pi7,Kelvin Shikuku
"MIT0019 The Governance, Crime, & Conflict Initiative (Peace & Recovery Program)",Massachusetts Institute of Technology (MIT),Grant Award,Dimensions of Conflict in Pastoral East Africa (Kenya),9/28/2015,1,1,,1.0,External Subaward,4/9/2018,pi8,Erwin Bulte
"MIT0019 The Governance, Crime, & Conflict Initiative (Peace & Recovery Program)",Massachusetts Institute of Technology (MIT),Grant Award,Dimensions of Conflict in Pastoral East Africa (Kenya),9/28/2015,1,1,,1.0,External Subaward,4/9/2018,pi9,Nathaniel D. Jensen
WBK4272 Direct Deposit and Commitment to Save 2,World Bank,Grant Award,Direct Deposit and Commitment to Save,3/10/2015,1,1,Malawi,0.0,,3/13/2015,pi1,Jessica Goldberg
WBK4272 Direct Deposit and Commitment to Save 2,World Bank,Grant Award,Direct Deposit and Commitment to Save,3/10/2015,1,1,Malawi,0.0,,3/13/2015,pi2,Xavier Gine
WBK4272 Direct Deposit and Commitment to Save 2,World Bank,Grant Award,Direct Deposit and Commitment to Save,3/10/2015,1,1,Malawi,0.0,,3/13/2015,pi3,"Dean Yang 
PhD Lasse Brune"
EDI Round 2: Direct Payments and Capacity Building Management (Sierra Leone),Center for Effective Global Action (CEGA),Grant Proposal,Direct Payments in Local Governance,11/15/2017,0,1,Sierra Leone,0.0,,11/15/2017,pi1,Bilal Siddiqi
EDI Round 2: Direct Payments and Capacity Building Management (Sierra Leone),Center for Effective Global Action (CEGA),Grant Proposal,Direct Payments in Local Governance,11/15/2017,0,1,Sierra Leone,0.0,,11/15/2017,pi2,Guy Grossman
EDI Round 2: Direct Payments and Capacity Building Management (Sierra Leone),Center for Effective Global Action (CEGA),Grant Proposal,Direct Payments in Local Governance,11/15/2017,0,1,Sierra Leone,0.0,,11/15/2017,pi3,"Osman Siddiqi 
PhD Alix Bonargent"
Nesta Kauffmann Proposal for Direct and Indirect Impacts of Credit Scoring for SMEs,Ewing Marion Kauffman Foundation,Grant Proposal,Direct and Indirect Impacts of Credit Scoring for SMEs,2/24/2014,0,1,Philippines,0.0,,2/24/2014,pi1,Dean Karlan
Nesta Kauffmann Proposal for Direct and Indirect Impacts of Credit Scoring for SMEs,Ewing Marion Kauffman Foundation,Grant Proposal,Direct and Indirect Impacts of Credit Scoring for SMEs,2/24/2014,0,1,Philippines,0.0,,2/24/2014,pi2,Gharad Bryan
Nesta Kauffmann Proposal for Direct and Indirect Impacts of Credit Scoring for SMEs,Ewing Marion Kauffman Foundation,Grant Proposal,Direct and Indirect Impacts of Credit Scoring for SMEs,2/24/2014,0,1,Philippines,0.0,,2/24/2014,pi3,Daniel Keniston
Nesta Kauffmann Proposal for Direct and Indirect Impacts of Credit Scoring for SMEs,Ewing Marion Kauffman Foundation,Grant Proposal,Direct and Indirect Impacts of Credit Scoring for SMEs,2/24/2014,0,1,Philippines,0.0,,2/24/2014,pi4,Pamela Jakiela
IKEA-22-10003: IPA IKEA Foundation Displaced Livelihoods Initiative (with J-PAL),IKEA Foundation,Grant Award,Displacement in Somalia Exploring the Direct and Indirect Relationships Between,4/29/2022,1,1,,1.0,External Subaward,11/18/2022,pi1,Andrew Dillon
IKEA-22-10003: IPA IKEA Foundation Displaced Livelihoods Initiative (with J-PAL),IKEA Foundation,Grant Award,Displacement in Somalia Exploring the Direct and Indirect Relationships Between,4/29/2022,1,1,,1.0,External Subaward,11/18/2022,pi2,Hilke Gudel
IKEA-22-10003: IPA IKEA Foundation Displaced Livelihoods Initiative (with J-PAL),IKEA Foundation,Grant Award,Displacement in Somalia Exploring the Direct and Indirect Relationships Between,4/29/2022,1,1,,1.0,External Subaward,11/18/2022,pi3,Brenton Peterson
IKEA-22-10003: IPA IKEA Foundation Displaced Livelihoods Initiative (with J-PAL),IKEA Foundation,Grant Award,Disrupted Aid Displaced Lives,4/29/2022,1,1,,1.0,External Subaward,11/18/2022,pi1,Guy Grossman
"WBK5836 Gender, Insurance & Agricultural Productivity",World Bank,Grant Award,Disseminating Innovative Resources and Technologies to Smallholders (DIRTS),2/9/2015,1,1,Ghana,0.0,,7/7/2015,pi1,Christopher Udry
"WBK5836 Gender, Insurance & Agricultural Productivity",World Bank,Grant Award,Disseminating Innovative Resources and Technologies to Smallholders (DIRTS),2/9/2015,1,1,Ghana,0.0,,7/7/2015,pi2,Dean Karlan
"WBK5836 Gender, Insurance & Agricultural Productivity",World Bank,Grant Award,Disseminating Innovative Resources and Technologies to Smallholders (DIRTS),2/9/2015,1,1,Ghana,0.0,,7/7/2015,pi3,Shashidhara Kolavalli
"MIT0019 The Governance, Crime, & Conflict Initiative (Peace & Recovery Program)",Massachusetts Institute of Technology (MIT),Grant Award,Dissemination of critical information in a humanitarian setting,9/28/2015,1,1,,1.0,External Subaward,4/9/2018,pi1,Ceren Baysan
"MIT0019 The Governance, Crime, & Conflict Initiative (Peace & Recovery Program)",Massachusetts Institute of Technology (MIT),Grant Award,Dissemination of critical information in a humanitarian setting,9/28/2015,1,1,,1.0,External Subaward,4/9/2018,pi2,Lisa Spantig
ANR Submission,Agence Nationale de la Recherche,Grant Proposal,Djantoli,3/27/2018,0,1,Francophone West Africa,0.0,,3/27/2018,pi1,Elodie Djemai
ANR Submission,Agence Nationale de la Recherche,Grant Proposal,Djantoli,3/27/2018,0,1,Francophone West Africa,0.0,,3/27/2018,pi2,Rebecca Thornton
ANR Submission,Agence Nationale de la Recherche,Grant Proposal,Djantoli,3/27/2018,0,1,Francophone West Africa,0.0,,3/27/2018,pi3,Marta Ménendez
OSF-19-10002 Peace & Recovery Competitive Fund on Homicide in Latin America,Open Society Foundations,Grant Award,Do Body-worn Cameras Affect Police Behavior?,11/15/2018,1,1,,1.0,External Subaward,7/11/2019,pi1,Joana Monteiro
OSF-19-10002 Peace & Recovery Competitive Fund on Homicide in Latin America,Open Society Foundations,Grant Award,Do Body-worn Cameras Affect Police Behavior?,11/15/2018,1,1,,1.0,External Subaward,7/11/2019,pi2,Leandro Piquet
OSF-19-10002 Peace & Recovery Competitive Fund on Homicide in Latin America,Open Society Foundations,Grant Award,Do Body-worn Cameras Affect Police Behavior?,11/15/2018,1,1,,1.0,External Subaward,7/11/2019,pi3,Ciro Biderman
Enrollment Gains CCT Mexico JPAL Post Primary Education Initiative,Massachusetts Institute of Technology (MIT),Grant Proposal,Do Enrollment Gains from CCTs Sustain Disruption?,5/3/2020,0,1,Mexico,0.0,,5/3/2020,pi1,Susan Parker
Enrollment Gains CCT Mexico JPAL Post Primary Education Initiative,Massachusetts Institute of Technology (MIT),Grant Proposal,Do Enrollment Gains from CCTs Sustain Disruption?,5/3/2020,0,1,Mexico,0.0,,5/3/2020,pi2,Tom Vogl
Enrollment Gains CCT Mexico JPAL Post Primary Education Initiative,Massachusetts Institute of Technology (MIT),Grant Proposal,Do Enrollment Gains from CCTs Sustain Disruption?,5/3/2020,0,1,Mexico,0.0,,5/3/2020,pi3,Fernanda Marquez-Padilla
Does parental monitoring increase take-up of a school dropout prevention program?,World Bank,Grant Proposal,Does parental monitoring increase take-up of a school dropout prevention program,5/30/2018,0,1,Colombia,0.0,,5/30/2018,pi1,Olga Namen
MIT-21-20065 Driving Greener Mobility (Rwanda),Massachusetts Institute of Technology (MIT),Grant Award,Driving greener mobility in Rwanda,3/30/2021,1,1,Rwanda,0.0,Allocation,8/19/2021,pi1,Robert Pickmans
MIT-21-20065 Driving Greener Mobility (Rwanda),Massachusetts Institute of Technology (MIT),Grant Award,Driving greener mobility in Rwanda,3/30/2021,1,1,Rwanda,0.0,Allocation,8/19/2021,pi2,Hilary Yu
Gates LOI for ECD project,Gates Foundation,Grant Proposal,Dual Generation ECD project,1/13/2015,0,1,Malawi,0.0,,1/13/2015,pi1,Moffat Nyirenda
Gates LOI for ECD project,Gates Foundation,Grant Proposal,Dual Generation ECD project,1/13/2015,0,1,Malawi,0.0,,1/13/2015,pi2,Hirokazu Yoshikawa
Gates LOI for ECD project,Gates Foundation,Grant Proposal,Dual Generation ECD project,1/13/2015,0,1,Malawi,0.0,,1/13/2015,pi3,Alice Wuermli
"CNHF-22-10004: Dual Generation Policy and Research Initiative (Uganda,Colombia)",Conrad N. Hilton Foundation,Grant Award,Dual Generation Initiative - Colombia (DGIC),10/3/2022,1,1,Colombia,0.0,Allocation,12/5/2022,pi1,Sarah Kabay
"CNHF-22-10004: Dual Generation Policy and Research Initiative (Uganda,Colombia)",Conrad N. Hilton Foundation,Grant Award,Dual Generation Initiative - Global,10/3/2022,1,1,,0.0,Allocation,12/5/2022,pi1,Sarah Kabay
MIT4127: J-PAL GI E-Governance and Land Administration (Bangladesh),Massachusetts Institute of Technology (MIT),Grant Award,E-Governance and Land Administration,3/4/2016,1,1,Bangladesh,0.0,,7/15/2016,pi1,Sebastian Galiani
MIT4127: J-PAL GI E-Governance and Land Administration (Bangladesh),Massachusetts Institute of Technology (MIT),Grant Award,E-Governance and Land Administration,3/4/2016,1,1,Bangladesh,0.0,,7/15/2016,pi2,PhD Srinivasan Vasudevan
IDR0002 Enhancing the Potential of E-savings to Boost Women's Investment and Household Outcomes in Tanzania,International Development Research Centre (IDRC),Grant Award,E-Savings,1/8/2018,1,1,Tanzania,0.0,Allocation,7/18/2018,pi1,Rachel Steinacher
IDR0002 Enhancing the Potential of E-savings to Boost Women's Investment and Household Outcomes in Tanzania,International Development Research Centre (IDRC),Grant Award,E-Savings,1/8/2018,1,1,Tanzania,0.0,Allocation,7/18/2018,pi2,"Nathan Fiala 
PhD Annekathrin Schoofs"
E-Savings proposal to BRAC WeeDiFine,BRAC Institute of Governance and Development,Grant Proposal,E-Savings to Boost Women?s Economic Empowerment in Kenya,11/25/2020,0,1,Kenya,0.0,,11/25/2020,pi1,Nathan Fiala
J-PAL GI E-filing Bangladesh,Massachusetts Institute of Technology (MIT),Grant Proposal,E-filing Bangladesh,3/10/2017,0,1,Bangladesh,0.0,,3/10/2017,pi1,Martin Mattsson
IDB-23-10058 - E-Lancers El Salvador (Peru Office),Inter-American Development Bank (IDB),Grant Award,E-lancers,1/19/2023,1,1,LAC-Other,0.0,Allocation,5/5/2023,pi1,Rafael Novella
UCS6275 E-Warehousing for Small Farmers_Uganda,"University of California, San Diego",Grant Award,E-warehousing Uganda,9/25/2014,1,1,Uganda,0.0,,10/1/2014,pi1,Craig McIntosh
UCS6275 E-Warehousing for Small Farmers_Uganda,"University of California, San Diego",Grant Award,E-warehousing Uganda,9/25/2014,1,1,Uganda,0.0,,10/1/2014,pi2,Lauren Falcao Bergquist
IGC-19-20003 IGC Understanding Non-Tariff Barriers & Regional Integration in East African Community,International Growth Centre (IGC),Grant Award,EAC Borders,7/13/2018,1,1,Kenya,0.0,Allocation,1/17/2019,pi1,Lauren Falcao Bergquist
IGC-19-20003 IGC Understanding Non-Tariff Barriers & Regional Integration in East African Community,International Growth Centre (IGC),Grant Award,EAC Borders,7/13/2018,1,1,Kenya,0.0,Allocation,1/17/2019,pi2,Meredith Startz
IGC-19-20003 IGC Understanding Non-Tariff Barriers & Regional Integration in East African Community,International Growth Centre (IGC),Grant Award,EAC Borders,7/13/2018,1,1,Kenya,0.0,Allocation,1/17/2019,pi3,Matthew Grant
EAGER proposal to IRC,International Rescue Committee (IRC),Grant Proposal,EAGER,2/20/2019,0,1,Sierra Leone,0.0,,2/20/2019,pi1,Todd Pugatch
EAGER proposal to IRC,International Rescue Committee (IRC),Grant Proposal,EAGER,2/20/2019,0,1,Sierra Leone,0.0,,2/20/2019,pi2,Jacobus Cilliers
EAGER proposal to IRC,International Rescue Committee (IRC),Grant Proposal,EAGER,2/20/2019,0,1,Sierra Leone,0.0,,2/20/2019,pi3,Rebecca Thornton
New Proposal for ECD (Cuna Mas) descriptive study,"Ministry of Development and Social Inclusion (MIDIS), Peru",Grant Proposal,ECD (Cuna Mas) descriptive study,10/17/2016,0,1,Peru,0.0,,10/17/2016,pi1,Andrew Dustan
New Proposal for ECD (Cuna Mas) descriptive study,"Ministry of Development and Social Inclusion (MIDIS), Peru",Grant Proposal,ECD (Cuna Mas) descriptive study,10/17/2016,0,1,Peru,0.0,,10/17/2016,pi2,Stanislao Maldonado
USA-22-10012: Scaling a DIV_Technology-based Early Childhood Care Intervention (Peru)- Canceled,United States Agency for International Development (USAID),Grant Award,ECD tech intervention,3/24/2021,1,1,Peru,0.0,Allocation,9/9/2022,pi1,Orazio Attanasio
IPA Zambia Proposal to ECF,Eleanor Crook Foundation (ECF),Grant Proposal,ECF Evidence Action Project in Zambia,11/26/2018,0,1,Zambia,0.0,,11/26/2018,pi1,Gunther Fink
IPA Zambia Proposal to ECF,Eleanor Crook Foundation (ECF),Grant Proposal,ECF Evidence Action Project in Zambia,11/26/2018,0,1,Zambia,0.0,,11/26/2018,pi2,Doug Parkerson
IPA Zambia Proposal to ECF,Eleanor Crook Foundation (ECF),Grant Proposal,ECF Evidence Action Project in Zambia,11/26/2018,0,1,Zambia,0.0,,11/26/2018,pi3,Peter C Rockers
ESR-19-10001: Preparing women for leadership positions in garment factories (Bangladesh),Economic and Social Research Council (ESRC),Grant Award,ECI Early Career Intervention,7/8/2019,1,1,Bangladesh,0.0,,10/30/2019,pi1,Christopher Woodruff
HAR-22-10012: Harvard Labor and Worklife Program (Ivory Coast),Harvard University,Grant Award,EDUC+ Follow-up Data Collection in Côte d'Ivoire,8/30/2022,1,1,Francophone West Africa,0.0,Allocation,11/4/2022,pi1,Martina Viarengo
NWU-19-10003 Ghana Research Coordinator,Northwestern University,Grant Award,EGC-ISSER Socioeconomic Panel Survey,4/1/2019,1,1,Ghana,0.0,Allocation,1/23/2020,pi1,Christopher Udry
NWU-19-10003 Ghana Research Coordinator,Northwestern University,Grant Award,EGC-ISSER Socioeconomic Panel Survey,4/1/2019,1,1,Ghana,0.0,Allocation,1/23/2020,pi2,Ernest Aryeetey
WBK4197 EMERGE KE6: Phase 2 Census Round 2 Field Work,World Bank,Grant Award,EMERGE Early Reading,7/12/2017,1,1,Kenya,0.0,,7/18/2017,pi1,Owen Ozier
WBK4197 EMERGE KE6: Phase 2 Census Round 2 Field Work,World Bank,Grant Award,EMERGE Early Reading,7/12/2017,1,1,Kenya,0.0,,7/18/2017,pi2,Pamela Jakiela
CEP-19-10003 - PEDL Opportunity for empowerment training program (Bangladesh),Centre for Economic Policy Research (CEPR),Grant Award,ETP Empowerment Training Program,11/14/2019,1,1,Bangladesh,0.0,,1/23/2020,pi1,Vanessa Schreiber
QCF-24-10001: Supporting Rigorous Research on Climate and the Environment,Quadrature Climate Foundation,Grant Award,EWS and index insurance_Bolivia,7/10/2024,1,1,LAC-Other,0.0,Internal Subaward,9/11/2024,pi1,Jimena Romero
New Proposal for Early Child Development in Southern Province,United States Agency for International Development (USAID),Grant Proposal,Early Child Development in Southern Province,5/11/2018,0,1,Zambia,0.0,,5/11/2018,pi1,Peter C Rockers
