Opportunity Name,Organization/Household Name: Organization/Household Name,Opportunity Record Type,Project: Project Name,Proposal Submission Date,Won Proposal,Opportunities Count,Project: Country Program: Country Program Name,Project: Research Not Managed by IPA,Allocation Type,Original Close Date,pi_position,pi_name
PEMS for One Health Liberia,University of Georgia,Grant Proposal,One Health Liberia,6/2/2022,0,1,Sierra Leone,0.0,Allocation,6/2/2022,pi1,Nate Hansen
JPAL PPE proposal,Massachusetts Institute of Technology (MIT),Grant Proposal,Online Learning and Labor Market Outcomes amid the Pandemic,6/13/2021,0,1,Colombia,0.0,,6/13/2021,pi1,Roman Andres Zarate
JPAL PPE proposal,Massachusetts Institute of Technology (MIT),Grant Proposal,Online Learning and Labor Market Outcomes amid the Pandemic,6/13/2021,0,1,Colombia,0.0,,6/13/2021,pi2,Sydnee Caldwell
Increasing Firm Compliance Through Participatory Regulation Making,Center for Effective Global Action (CEGA),Grant Proposal,Opening Doors,2/21/2017,0,1,Myanmar,0.0,,2/21/2017,pi2,Markus Taussig
UCH-23-10021 -New Proposal for Teacher based intervention in JEC (Peru),University of Chicago,Grant Award,Oportunidades para Todos,5/2/2023,1,1,Peru,0.0,Allocation,10/13/2023,pi1,Christopher Campos
UCH-23-10021 -New Proposal for Teacher based intervention in JEC (Peru),University of Chicago,Grant Award,Oportunidades para Todos,5/2/2023,1,1,Peru,0.0,Allocation,10/13/2023,pi2,Joan Martinez Palomino
"CNHF-22-10004: Dual Generation Policy and Research Initiative (Uganda,Colombia)",Conrad N. Hilton Foundation,Grant Award,Opportunity Gaps and Effect Sizes in ECD,10/3/2022,1,1,,1.0,External Subaward,12/5/2022,pi1,Jimin Oh
Orange Pico-Credit proposal to PSE,Paris School of Economics,Grant Proposal,Orange Pico-Credit,3/1/2019,0,1,Francophone West Africa,0.0,,3/1/2019,pi2,Victor Pouliquen
"MIT0019 The Governance, Crime, & Conflict Initiative (Peace & Recovery Program)",Massachusetts Institute of Technology (MIT),Grant Award,Otherization and Integration in the Rohingya Refugee Camps,9/28/2015,1,1,Bangladesh,0.0,Internal Subaward,4/9/2018,pi1,Reshmaan Hussam
"MIT0019 The Governance, Crime, & Conflict Initiative (Peace & Recovery Program)",Massachusetts Institute of Technology (MIT),Grant Award,Otherization and Integration in the Rohingya Refugee Camps,9/28/2015,1,1,Bangladesh,0.0,Internal Subaward,4/9/2018,pi2,Erin Kelley
"MIT0019 The Governance, Crime, & Conflict Initiative (Peace & Recovery Program)",Massachusetts Institute of Technology (MIT),Grant Award,Otherization and Integration in the Rohingya Refugee Camps,9/28/2015,1,1,Bangladesh,0.0,Internal Subaward,4/9/2018,pi3,Gregory Lane
BMG0014 Econ & Fin Models for Pricing & Setting Sanitation Tariffs for the Urban Poor,Gates Foundation,Grant Award,Ouaga Sanitation,9/25/2014,1,1,Francophone West Africa,0.0,,10/29/2014,pi1,Molly Lipscomb
BMG0014 Econ & Fin Models for Pricing & Setting Sanitation Tariffs for the Urban Poor,Gates Foundation,Grant Award,Ouaga Sanitation,9/25/2014,1,1,Francophone West Africa,0.0,,10/29/2014,pi2,Terence Johnson
New Proposal for Outcome Evaluation of the Village Enterprise DIB (Uganda and Kenya),Instiglio,Grant Proposal,Outcome Evaluation of the Village Enterprise DIB (Uganda),8/14/2017,0,1,Uganda,0.0,,8/17/2017,pi1,Doug Parkerson
New Proposal for Outcome Evaluation of the Village Enterprise DIB (Uganda and Kenya),Instiglio,Grant Proposal,Outcome Evaluation of the Village Enterprise DIB (Uganda),8/14/2017,0,1,Uganda,0.0,,8/17/2017,pi2,Lasse Brune
USDOS-20-10001 Human Trafficking Research Initiative,United States Department of State,Grant Award,Outcome measurement for the prevention and reintegration of child soldiers (CAR),9/1/2020,1,1,,0.0,External Subaward,9/1/2020,pi1,Kathryn Falb
Outline Project Criminal Governance in Unexpected Spaces,University College Dublin,Grant Proposal,Outline Project Criminal Governance in Unexpected Spaces,10/11/2024,0,1,LAC-Other,0.0,Allocation,10/11/2024,pi1,Lucia Tiscornia
BMG-20-10005 Evaluating New Deployments of L1P-aligned Payments Systems,Gates Foundation,Grant Award,Overcoming Belief Gaps to Enhance Digital Payment Adoption in Pakistan,8/14/2020,1,1,,0.0,External Subaward,11/5/2020,pi1,Kashif Zaheer Malik
BMG-20-10005 Evaluating New Deployments of L1P-aligned Payments Systems,Gates Foundation,Grant Award,Overcoming Belief Gaps to Enhance Digital Payment Adoption in Pakistan,8/14/2020,1,1,,0.0,External Subaward,11/5/2020,pi2,Farah Said
"MIT0019 The Governance, Crime, & Conflict Initiative (Peace & Recovery Program)",Massachusetts Institute of Technology (MIT),Grant Award,Overcoming the Trust Deficit,9/28/2015,1,1,,1.0,External Subaward,4/9/2018,pi1,Salma Mousa
RootCap-20-10001 - PAD-Root Capital Coffee Farmers Survey (Rwanda),Root Capital,Grant Award,PAD collaboration evidence generation,5/15/2020,1,1,Rwanda,0.0,Allocation,6/25/2020,pi1,Phillip Okull
"3ie Proposal Preparation for PAMANA Programs, OPAPP, Grant #1",International Initiative for Impact Evaluation (3ie),Grant Proposal,PAMANA Programs- OPAPP,5/29/2015,0,1,Philippines,0.0,,5/29/2015,pi1,Tilman Brueck
"3ie Proposal Preparation for PAMANA Programs, OPAPP, Grant #1",International Initiative for Impact Evaluation (3ie),Grant Proposal,PAMANA Programs- OPAPP,5/29/2015,0,1,Philippines,0.0,,5/29/2015,pi10,Marites Tiongco
"3ie Proposal Preparation for PAMANA Programs, OPAPP, Grant #1",International Initiative for Impact Evaluation (3ie),Grant Proposal,PAMANA Programs- OPAPP,5/29/2015,0,1,Philippines,0.0,,5/29/2015,pi11,Joesph Felter
"3ie Proposal Preparation for PAMANA Programs, OPAPP, Grant #1",International Initiative for Impact Evaluation (3ie),Grant Proposal,PAMANA Programs- OPAPP,5/29/2015,0,1,Philippines,0.0,,5/29/2015,pi12,Benjamin Crost
"3ie Proposal Preparation for PAMANA Programs, OPAPP, Grant #1",International Initiative for Impact Evaluation (3ie),Grant Proposal,PAMANA Programs- OPAPP,5/29/2015,0,1,Philippines,0.0,,5/29/2015,pi2,Aries Arugay
"3ie Proposal Preparation for PAMANA Programs, OPAPP, Grant #1",International Initiative for Impact Evaluation (3ie),Grant Proposal,PAMANA Programs- OPAPP,5/29/2015,0,1,Philippines,0.0,,5/29/2015,pi3,Arnelyn May Abdon
"3ie Proposal Preparation for PAMANA Programs, OPAPP, Grant #1",International Initiative for Impact Evaluation (3ie),Grant Proposal,PAMANA Programs- OPAPP,5/29/2015,0,1,Philippines,0.0,,5/29/2015,pi4,Anastasia Aladysheva
"3ie Proposal Preparation for PAMANA Programs, OPAPP, Grant #1",International Initiative for Impact Evaluation (3ie),Grant Proposal,PAMANA Programs- OPAPP,5/29/2015,0,1,Philippines,0.0,,5/29/2015,pi5,Mary Arends-Kuenning
"3ie Proposal Preparation for PAMANA Programs, OPAPP, Grant #1",International Initiative for Impact Evaluation (3ie),Grant Proposal,PAMANA Programs- OPAPP,5/29/2015,0,1,Philippines,0.0,,5/29/2015,pi6,Eli Berman
"3ie Proposal Preparation for PAMANA Programs, OPAPP, Grant #1",International Initiative for Impact Evaluation (3ie),Grant Proposal,PAMANA Programs- OPAPP,5/29/2015,0,1,Philippines,0.0,,5/29/2015,pi7,Laarni Escresa
"3ie Proposal Preparation for PAMANA Programs, OPAPP, Grant #1",International Initiative for Impact Evaluation (3ie),Grant Proposal,PAMANA Programs- OPAPP,5/29/2015,0,1,Philippines,0.0,,5/29/2015,pi8,Damir Esenaliev
"3ie Proposal Preparation for PAMANA Programs, OPAPP, Grant #1",International Initiative for Impact Evaluation (3ie),Grant Proposal,PAMANA Programs- OPAPP,5/29/2015,0,1,Philippines,0.0,,5/29/2015,pi9,Neil Ferguson
PAPSE RA proposal to WB,World Bank,Grant Proposal,PAPSE,11/21/2018,0,1,Francophone West Africa,0.0,,11/21/2018,pi1,Bastien Michel
