Opportunity Name,Organization/Household Name: Organization/Household Name,Opportunity Record Type,Project: Project Name,pi1,Proposal Submission Date,Won Proposal,Opportunities Count,Project: Country Program: Country Program Name,Project: Research Not Managed by IPA,Allocation Type,Original Close Date,pi2,pi3,pi4,pi5,pi6,pi7,pi8,pi9,pi10,pi11,pi12,pi13,pi14
IGC9404 Strengthening state capacity in health (Sierra Leone),International Growth Centre (IGC),Grant Award,Social Incentives for Child Immunization (SICI),Anne Karing,3/18/2016,1,1,Sierra Leone,0.0,,11/11/2016,,,,,,,,,,,,,
New EOI for Financial Education For Secondary Level,World Bank,Grant Proposal,Financial Education For Secondary Level,Jeanne Lafortune,9/9/2015,0,1,Peru,0.0,,9/9/2015,,,,,,,,,,,,,
JCF0002 IPA and Jacobs Foundation Partnership_Ivory Coast,Jacobs Foundation,Grant Award,TRECC - Impact Evaluation,Andrew Dillon,5/30/2015,1,1,Francophone West Africa,0.0,,7/30/2015,,,,,,,,,,,,,
CIF0007: Living Goods II (Uganda),Children's Investment Fund Foundation (CIFF),Grant Award,Living Goods II,Jakob Svensson,5/10/2015,1,1,Uganda,0.0,Allocation,7/10/2015,"Martina Björkman Nyqvist 
PhD Andrea Guariso",,,,,,,,,,,,
OMI0003 Omidyar Effective Solutions to Education,Omidyar Network,Grant Award,Effective Education Solutions Ghana,Loic Watine,5/2/2014,1,1,Ghana,0.0,,1/27/2015,,,,,,,,,,,,,
NSF7294 Escaping Poverty: Cognitive Behavioral Therapy and Social Protection (Ghana),National Science Foundation (NSF),Grant Award,Escaping Poverty,Dean Karlan,8/18/2017,1,1,Ghana,0.0,Allocation,3/6/2018,Christopher Udry,Angela Ofori-Atta,Nathanael Goldberg,Gharad Bryan,Elizabeth Bradley,Julia Vaillant,"Andre J Nickow 
PhD Nathan Barker",,,,,,
CAF Proposal for Innovative Savings Product with Banco Caja Social,CAF ? Development Bank of Latin America,Grant Proposal,Innovative Savings Product with Banco Caja Social,Catherine Rodriguez,9/15/2016,0,1,Colombia,0.0,,9/15/2016,Juan Esteban Saavedra,,,,,,,,,,,,
HAR-21-10011: Credit for Social Change: Water Access and Improved Farming through Better Borrowing (Kenya),Harvard University,Grant Award,Asset Collateralization and Endowment Effects,Michael Kremer,11/17/2019,1,1,Kenya,0.0,Allocation,11/10/2021,Joshua Deutschmann,Gautam Rao,Kevin Carney,,,,,,,,,,
ILO1122: ILO EOI SCORE IE Peru,International Labour Organization,Grant Award,SCORE,Paul Gertler,7/28/2015,1,1,Peru,0.0,,10/5/2015,Leonardo Iacovone,,,,,,,,,,,,
New Proposal for GIZ clean stove,Deutsche Gesellschaft für Internationale Zusammenarbeit (GIZ),Grant Proposal,GIZ clean stove,Manuel Barron,8/24/2015,0,1,Peru,0.0,,8/24/2015,,,,,,,,,,,,,
