Opportunity Name,Organization/Household Name: Organization/Household Name,Opportunity Record Type,Project: Project Name,pi1,Proposal Submission Date,Won Proposal,Opportunities Count,Project: Country Program: Country Program Name,Project: Research Not Managed by IPA,Allocation Type,Original Close Date,pi2,pi3,pi4,pi5,pi6,pi7,pi8,pi9,pi10,pi11,pi12,pi13,pi14
DOL-22-10001 Child Labor Central America RCT + Pilots (Guatemala)- Canceled,United States Department of Labor,Grant Award,GUARDIAN - University of Bern,,7/14/2022,1,1,LAC-Other,0.0,External Subaward,7/14/2022,,,,,,,,,,,,,
ADB-25-10010: PSPS ADB Education x Cyclones Pilot Funding,Asian Development Bank (ADB),Grant Award,PSPS ADB Education x Cyclones Study,Martino Pelli,2/26/2025,1,1,Philippines,0.0,Allocation,10/1/2025,Albert Park,,,,,,,,,,,,
BMG-23-10010: Tanzania Affordable Digital Finance Research Initiative (TADFRI),Gates Foundation,Grant Award,Analysis of the Competition and Regulatory Environment of TZ DFS Ecosystem,,3/31/2023,1,1,Tanzania,0.0,Allocation,5/23/2023,,,,,,,,,,,,,
Follow-Up Surveys in Chile,Inter-American Development Bank (IDB),Grant Award,Edu Financiera - Follow up Chile,,9/10/2024,1,1,LAC-Other,0.0,Allocation,9/13/2024,,,,,,,,,,,,,
CNHF-24-10005: Two-Generation and Integration,Conrad N. Hilton Foundation,Grant Award,Dual Gen and Integration Colombia,,8/16/2024,1,1,Colombia,0.0,Allocation,12/16/2024,,,,,,,,,,,,,
GWL-25-10003 Impact of a village-based livelihoods programme in rural Uganda on IPV 5Yr Followup (Uganda),GiveWell,Grant Award,RTV 5Yr Follow-up,Emma Riley,8/8/2024,1,1,Uganda,0.0,Allocation,6/16/2025,,,,,,,,,,,,,
HAC-24-10003: Impact Evaluation of the Health Access Connect model (Uganda),Health Access Connect,Grant Award,Evaluating the Health Access Connect Model,Anne Fitzpatrick,5/25/2022,1,1,Uganda,0.0,Allocation,10/28/2024,,,,,,,,,,,,,
JCF-24-10011: Partnerships for Technology in Education (P4T-Ed),Jacobs Foundation,Grant Award,Strengthening Mentu's capabilities,,9/5/2023,1,1,Colombia,0.0,Allocation,1/12/2024,,,,,,,,,,,,,
LSE-25-20042: Recycling with Sesa - LSE,London School of Economics and Political Science,Grant Award,Trading Trash and Recyclables on Tricycles,Ignacio Banares Sanchez,4/11/2025,1,1,Ghana,0.0,Allocation,9/12/2025,Yoshiki Wiskamp,,,,,,,,,,,,
USAID/El Salvador and USAID/OCE Educational Innovation Project Impact Evaluation,Purdue Applied Research Institute,Grant Proposal,El Salvador My New School,,9/24/2024,0,1,LAC-Other,0.0,Allocation,10/6/2024,,,,,,,,,,,,,
WEL-24-10019: EPSD-Soft Skills Research Fund,Wellspring Philanthropic Fund,Grant Award,Management and measurement advisory for soft skills research fund,,7/17/2024,1,1,,0.0,Allocation,10/10/2024,,,,,,,,,,,,,
Strengthening Smallholder Resilience to Climate Change: Leveraging Cooperative Marketing and Group Threshold Discounts,The College of William and Mary,Grant Proposal,Strengthening Smallholder Resilience to Climate Change,Philip Roessler,9/30/2024,0,1,Tanzania,0.0,Allocation,9/30/2024,,,,,,,,,,,,,
IGC Full Research Grant,Stanford University,Grant Proposal,Loan Guarantees for Small Farmers in Mexico,Enrique Seira,9/30/2024,0,1,Mexico,0.0,Allocation,9/30/2024,,,,,,,,,,,,,
BIGD-25-10010: BIGD Dissemination - Ghana,BRAC Institute of Governance and Development,Grant Award,IPA - BIGD Dissemination Event - Ghana,,10/15/2024,1,1,Ghana,0.0,Allocation,1/29/2025,,,,,,,,,,,,,
BMG-20-10005 Evaluating New Deployments of L1P-aligned Payments Systems,Gates Foundation,Grant Award,Overcoming Belief Gaps to Enhance Digital Payment Adoption in Pakistan,Kashif Zaheer Malik,8/14/2020,1,1,,0.0,External Subaward,11/5/2020,Farah Said,,,,,,,,,,,,
P4T: Mentu RCT,Jacobs Foundation,Grant Proposal,RCT Mentu Artificial Intelligence and Student Learning in the Developing World,Juan Sebastián Muñoz-Morales,9/23/2024,0,1,Colombia,0.0,Allocation,9/23/2024,Xinjie Zhang,Felipe Barrera-Osorio,,,,,,,,,,,
P4T: Crack the Code RCT,Jacobs Foundation,Grant Proposal,Crack the Code RCT,,7/12/2024,0,1,Colombia,0.0,Allocation,7/12/2024,,,,,,,,,,,,,
JCF-24-10011: Partnerships for Technology in Education (P4T-Ed),Jacobs Foundation,Grant Award,P4T-Ed Tech Learning partnership with Rising Academies to refine AI-driven tools,,9/5/2023,1,1,Ghana,0.0,Allocation,1/12/2024,,,,,,,,,,,,,
IKEA-22-10003: IPA IKEA Foundation Displaced Livelihoods Initiative (with J-PAL),IKEA Foundation,Grant Award,Displacement in Somalia Exploring the Direct and Indirect Relationships Between,Andrew Dillon,4/29/2022,1,1,,1.0,External Subaward,11/18/2022,Hilke Gudel,Brenton Peterson,,,,,,,,,,,
BMG-24-10017: Gender & Digital Connectivity Learning Partnership,Gates Foundation,Grant Award,Gender & Digital Connectivity Learning Partnership,Niall Keleher,8/19/2024,1,1,,0.0,External Subaward,11/27/2024,,,,,,,,,,,,,
WAM: Enhancing Nutrition and Food Security in the Philippines,Weiss Asset Management,Grant Proposal,Walang Gutom Food Stamps Program Social-Behavioral Change Communication (SBCC),,11/22/2024,0,1,Philippines,0.0,Allocation,11/22/2024,,,,,,,,,,,,,
ANH_Creating demand for nutritious food in Rwanda,Sight and Life,Grant Proposal,ANH_Creating demand for nutritious food in Rwanda,,10/25/2024,0,1,Rwanda,0.0,Allocation,10/25/2024,,,,,,,,,,,,,
WB SISO Coaching,World Bank,Grant Proposal,SISO Coaching Project - Ghana DL,,10/31/2024,0,1,Ghana,0.0,Allocation,10/31/2024,,,,,,,,,,,,,
Assessing the use of a chatbot to reduce teenage pregnancy in Colombian schools- Agency Fund,The Agency Fund,Grant Proposal,Assessing the use of a chatbot to reduce teenage pregnancy in Colombian schools.,Jaime Millan Quijano,10/31/2024,0,1,Colombia,0.0,Allocation,10/31/2024,,,,,,,,,,,,,
Pretrial detention in the Dominican Republic,"University of California, Berkeley",Grant Proposal,Pretrial detention in the Dominican Republic,,10/23/2024,0,1,LAC-Other,0.0,Allocation,10/31/2024,,,,,,,,,,,,,
Irrigation and Market Linkages: Feed the Future Malawi,Feed the Future (FTF),Grant Proposal,Feed the Future-Irrigation and Market Linkages,,10/24/2024,0,1,Malawi,0.0,Allocation,10/24/2024,,,,,,,,,,,,,
Pump Sharing Model: Feed the Future Zambia,United States Agency for International Development (USAID),Grant Proposal,Feed the Future-Pump Sharing Model in Zambia,,10/24/2024,0,1,Zambia,0.0,Allocation,10/31/2024,,,,,,,,,,,,,
BMG-24-10016: Generating evidence on credit innovations for women,Gates Foundation,Grant Award,Generating evidence on credit innovations for women- Global Management,,6/7/2024,1,1,,0.0,Allocation,11/25/2024,,,,,,,,,,,,,
CVI: Promoting social integration edutainment,Abdul Latif Jameel Poverty Action Lab (J-PAL),Grant Proposal,Binging the Gap Promoting Cohesion through an Edutainment Web Series,Eliana La Ferrara,11/4/2024,0,1,Colombia,0.0,Allocation,11/4/2024,Andrei Kim,,,,,,,,,,,,
GI: Enhancing evidence-based policy adoption in public server,Abdul Latif Jameel Poverty Action Lab (J-PAL),Grant Proposal,Enhancing evidence-based policy adoption in public servers,Santiago Tobon,11/4/2024,0,1,Colombia,0.0,Allocation,11/4/2024,,,,,,,,,,,,,
GI Democracia Alcaldes,Abdul Latif Jameel Poverty Action Lab (J-PAL),Grant Proposal,Improving Democratic Leadership - A Field Experiment with Local Mayors in Peru,,11/4/2024,0,1,Peru,0.0,Allocation,11/4/2024,,,,,,,,,,,,,
BMG-23-10013: Generating Evidence on New Wave Graduation Programs,Gates Foundation,Grant Award,Supporting male and female youth entrepreneurship with the graduation approach,Quentin Stoeffler,9/14/2023,1,1,United States,0.0,External Subaward,11/8/2023,,,,,,,,,,,,,
BMG-23-10013: Generating Evidence on New Wave Graduation Programs,Gates Foundation,Grant Award,Impact Evaluation of Ethiopia?s PSNP Livelihoods Interventions,,9/14/2023,1,1,Kenya,0.0,External Subaward,11/8/2023,,,,,,,,,,,,,
MIT-24-20112 HPI: Preventing Sexual Violence through Training (Colombia),Massachusetts Institute of Technology (MIT),Grant Award,Preventing Sexual Violence through Training,Michael Weintraub,12/9/2024,1,1,Colombia,0.0,Allocation,12/9/2024,,,,,,,,,,,,,
DMI-25-20007: DMI RMNCH CAMPAIGN 2024-6,Development Media International (DMI),Grant Award,DMI LAAFI2 EVALUATION,,5/17/2024,1,1,Francophone West Africa,0.0,Allocation,2/5/2025,,,,,,,,,,,,,
CNHF-22-10003 Hilton - Venezuelan migration initiative (Colombia),Conrad N. Hilton Foundation,Grant Award,Dual Gen MEL Incubator,,6/24/2022,1,1,Colombia,0.0,Allocation,6/24/2022,,,,,,,,,,,,,
Outline Project Criminal Governance in Unexpected Spaces,University College Dublin,Grant Proposal,Outline Project Criminal Governance in Unexpected Spaces,Lucia Tiscornia,10/11/2024,0,1,LAC-Other,0.0,Allocation,10/11/2024,,,,,,,,,,,,,
MIT-25-20111: Extension the Peace & Recovery Initiative (MIT0019),Massachusetts Institute of Technology (MIT),Grant Award,Renewable Energy (RE),,3/1/2024,1,1,Colombia,0.0,Internal Subaward,3/25/2025,,,,,,,,,,,,,
IKEA-22-10003: IPA IKEA Foundation Displaced Livelihoods Initiative (with J-PAL),IKEA Foundation,Grant Award,The Impact of Microcredit for Refugees and Host Communities,Erin Kelley,4/29/2022,1,1,Uganda,1.0,External Subaward,11/18/2022,Sam Hsu,Reshmaan Hussam,Sylvan Herskowitz,Gregory Lane,,,,,,,,,
IKEA-22-10003: IPA IKEA Foundation Displaced Livelihoods Initiative (with J-PAL),IKEA Foundation,Grant Award,Rebuilding the Social-Cohesion of Return Migrants in Post-Conflict Mozambique,Henrique Pita Barros,4/29/2022,1,1,Kenya,1.0,External Subaward,11/18/2022,,,,,,,,,,,,,
IKEA-22-10003: IPA IKEA Foundation Displaced Livelihoods Initiative (with J-PAL),IKEA Foundation,Grant Award,Skills Certifications and Migrant Labor Market Integration,Juan Sebastián Muñoz-Morales,4/29/2022,1,1,Colombia,1.0,External Subaward,11/18/2022,Matias Busso,Cynthia van der Werf,Carolina Gonzales-Velosa,,,,,,,,,,
IKEA-22-10003: IPA IKEA Foundation Displaced Livelihoods Initiative (with J-PAL),IKEA Foundation,Grant Award,On the Microeconomic Foundations of the Role of Immigration on Growth,Paul Gertler,4/29/2022,1,1,,1.0,External Subaward,11/18/2022,Raimundo Undurraga,Ana Maria Montoya,,,,,,,,,,,
BMG-24-10016: Generating evidence on credit innovations for women,Gates Foundation,Grant Award,Women at the Wheel Asset Financing to Empower,Simon Quinn,6/7/2024,1,1,,0.0,External Subaward,11/25/2024,,,,,,,,,,,,,
BMG-24-10016: Generating evidence on credit innovations for women,Gates Foundation,Grant Award,Targeted Flexible Microcredits Thozhil Valarchikana Kadan Graduation Loan,Benjamin Roth,6/7/2024,1,1,,0.0,External Subaward,11/25/2024,Natalia Rigol,,,,,,,,,,,,
BMG-24-10016: Generating evidence on credit innovations for women,Gates Foundation,Grant Award,Wholesale Financing and Affordable Credit for Women Entrepreneurs,Thorsten Beck,6/7/2024,1,1,,0.0,External Subaward,11/25/2024,,,,,,,,,,,,,
BMG-24-10016: Generating evidence on credit innovations for women,Gates Foundation,Grant Award,The Impact of Inventory Advances (Zero-Interest Loans) on WEE,Rajesh Chandy,6/7/2024,1,1,,0.0,Allocation,11/25/2024,,,,,,,,,,,,,
MIT-25-20111: Extension the Peace & Recovery Initiative (MIT0019),Massachusetts Institute of Technology (MIT),Grant Award,Investigating the Buklod Paglaom Program for CICLs,,3/1/2024,1,1,Philippines,0.0,Internal Subaward,3/25/2025,,,,,,,,,,,,,
Enhancing Mental Health and Economic Resilience Among Farmers in Malawi,Weiss Asset Management,Grant Proposal,Enhancing Mental Health and Economic Resilience Among Farmers in Malawi,,11/22/2024,0,1,Malawi,0.0,Allocation,11/22/2024,,,,,,,,,,,,,
Evaluating a Collaborative Care Model to Improve Identification and Treatment of Common Mental Disorders in Tanzania,Weiss Asset Management,Grant Proposal,Evaluating a Collaborative Care Model to Improve Identification and Treatment,Kyu Khin Gar,11/22/2024,0,1,Tanzania,0.0,Allocation,11/22/2024,Lauren Ng,,,,,,,,,,,,
WEL-23-10016: IPV Initiative Phase 4,Wellspring Philanthropic Fund,Grant Award,Asking About Violence (IPV),,4/19/2023,1,1,Mexico,0.0,External Subaward,7/18/2023,,,,,,,,,,,,,
UWM-25-10003: PrePilot - Wisconsin Madison,University of Wisconsin-Madison,Grant Award,MinoHealth Evaluation,Laura Schechter,1/10/2025,1,1,Ghana,0.0,Allocation,2/10/2025,Monica Lambon-Quayefio,Gisella Kagy,Dan Zeltzer,,,,,,,,,,
Preventing and Countering Extremism by Building Civilian-State Cooperation among Women,New York University,Grant Proposal,Preventing and Countering Extremism by Building Civilian-State Cooperation amon,Anna Maria Wilke,11/22/2024,0,1,Kenya,0.0,Allocation,11/22/2024,Jimmy Graham,Avi Ahuja,,,,,,,,,,,
Virtual Contact Hypothesis for Cohesion - Pilot in Nothern Kenya,Norwegian University of Science and Technology (NTNU),Grant Proposal,Virtual Contact Hypothesis - Online Interactions to Promote Social Cohesion,Christa Brunnschweiler,11/22/2024,0,1,Kenya,0.0,Allocation,11/22/2024,Nathan Remcho,Paolo Falco,Samwel Nassary,Gustav Agneman,,,,,,,,,
Sexual Violence Prevention- HPI,ICRC,Grant Proposal,Sexual Violence Prevention,,12/9/2024,0,1,Colombia,0.0,Allocation,12/9/2024,,,,,,,,,,,,,
KP-24-10001 Migrants in Mexico (Mexico),King Philanthropies,Grant Award,Migrants in Mexico,Grant Miller,12/6/2024,1,1,Mexico,0.0,Allocation,1/9/2025,,,,,,,,,,,,,
MoEB-25-10002- Evaluation of Doodle Learn in Belize (Belize),Ministry of Education of Belize,Grant Award,Evaluation Doodle Learning,,12/10/2024,1,1,LAC-Other,0.0,Allocation,1/22/2025,Emma Ingrid Naslund-Hadley,,,,,,,,,,,,
PROCIENCIA-25-10002- Capacity building and firm monitoring (Peru),Programa Nacional de Investigación Científica y Estudios Avanzados,Grant Award,Evaluation of Financial Schemes for Technological  Innovation in Peru,Barbara Sparrow,10/31/2024,1,1,Peru,0.0,Allocation,2/25/2025,,,,,,,,,,,,,
BMG-24-10016: Generating evidence on credit innovations for women,Gates Foundation,Grant Award,Women Economic Empowerment Policy Support Nigeria,,6/7/2024,1,1,Nigeria,0.0,Allocation,11/25/2024,,,,,,,,,,,,,
Call for applications to conduct biofortified maize impact assessment in Malawi,International Food Policy Research Institute (IFPRI),Grant Proposal,Biofortified maize impact assessment in Malawi,,12/20/2024,0,1,Malawi,0.0,Allocation,12/20/2024,,,,,,,,,,,,,
Digital Collateral Contract Design,"University of California, Berkeley",Grant Proposal,Digital Collateral Contract Design,,12/20/2024,0,1,Nigeria,0.0,Allocation,12/20/2024,,,,,,,,,,,,,
BMG-24-10015: Consumer Protection Research Initiative II,Gates Foundation,Grant Award,Consumer Protection Surveys,William Blackmon,5/13/2024,1,1,,0.0,Allocation,7/15/2024,Shana Warren,Paul Adams,,,,,,,,,,,
Swiss TPH-25-10001 Comprehensive Nutritional Support For Children Zambia,Swiss Tropical and Public Health Institute,Grant Award,Comprehensive Nutritional Support Pilot,Gunther Fink,12/12/2024,1,1,Zambia,0.0,Allocation,2/26/2025,,,,,,,,,,,,,
Lego-25-10010: Thriving Through Play - Service Agreement,LEGO Foundation,Grant Award,Learning and Evidence in Thriving Through Play,,6/15/2024,1,1,Uganda,0.0,Allocation,2/27/2025,,,,,,,,,,,,,
HWG-24-10004: Partnerships for Tech in Health (P4T-Health): Pilot project,Horace W. Goldsmith Foundation,Grant Award,P4T-Health - Management,,9/19/2024,1,1,,0.0,Allocation,12/20/2024,,,,,,,,,,,,,
FID for 4-H Liberia scale-up,Fund for Innovation in Development (FID),Grant Proposal,4-H Liberia Path to Scale,,1/13/2025,0,1,Sierra Leone,0.0,Allocation,1/13/2025,,,,,,,,,,,,,
Estimating the Returns to Interviewer Skills on Data Quality,Northwestern University,Grant Proposal,Estimating the Returns to Interviewer Skills on Data Quality,Andrew Dillon,1/29/2025,0,1,Kenya,0.0,Allocation,1/29/2025,Celine Wuyts,,,,,,,,,,,,
Statelessness in Kenya: A Panel Study of the Socioeconomic Conditions of Previously and Currently Stateless Populations,Immigration Policy Lab (IPL),Grant Proposal,Statelessness in Kenya - A Panel Study,Sigrid Weber,1/17/2025,0,1,Kenya,0.0,Allocation,1/17/2025,,,,,,,,,,,,,
The role of School Leadership in Improving Educational Outcomes in Côte d?Ivoire,"United Nations Educational, Scientific and Cultural Organization (UNESCO)",Grant Proposal,UNESCO the role of school leadership,,1/20/2025,0,1,Francophone West Africa,0.0,Allocation,1/20/2025,,,,,,,,,,,,,
Spencer proposal - child sponsorship program in the Philippines,Spencer Foundation,Grant Proposal,Evaluating a Child Sponsorship Program in the Philippines,,2/11/2025,0,1,Philippines,0.0,Allocation,2/11/2025,,,,,,,,,,,,,
SCI-21-10006 - Zimbabwe Takunda Amalima Loko Evaluation (Zambia Office),Save the Children International (SCI),Grant Award,Government Shutdown,,3/15/2021,1,1,,0.0,Allocation,10/20/2021,,,,,,,,,,,,,
WBK-25-20171- WBG: Sourcing2Equal (Colombia),World Bank,Grant Award,Sourcing2Equal COLOMBIA,David McKenzie,2/10/2025,1,1,Colombia,0.0,Allocation,2/10/2025,Rachel Cassidy,,,,,,,,,,,,
BMG-24-10016: Generating evidence on credit innovations for women,Gates Foundation,Grant Award,WEE Policy Support,,6/7/2024,1,1,,0.0,Allocation,11/25/2024,,,,,,,,,,,,,
MEL 100mil pisos para jugar,UNACEM,Grant Proposal,100mil pisos para jugar - Impact Evaluation,Paul Gertler,1/24/2025,0,1,Peru,0.0,Allocation,1/31/2025,Manuel Barron,,,,,,,,,,,,
BMG-23-10013: Generating Evidence on New Wave Graduation Programs,Gates Foundation,Grant Award,Gender Focused Multi-Faceted Anti-Poverty Programs,,9/14/2023,1,1,Uganda,0.0,Internal Subaward,11/8/2023,,,,,,,,,,,,,
Improving Loan Usage and Consumer Protection through Chatbot-Driven Loan Support,Burgundy School of Business,Grant Proposal,Transforming Financial Inclusion - Experimental Research on Chatbot Innovations,Charles Belanger,6/22/2025,0,1,Kenya,0.0,Allocation,6/22/2025,Arvind Ashta,Matthew Bird,Nikos Georgantzis,Effi Vasileiou,,,,,,,,,
SCI-21-10003 - Randomized Evaluation of Titukulane Development Food Security Activity (Malawi),Save the Children International (SCI),Grant Award,USGOVERNMENT Grants?Idle project,,4/30/2020,1,1,,0.0,Allocation,4/27/2021,,,,,,,,,,,,,
WB_DFS Consumer Risks in Rwanda,World Bank,Grant Proposal,WB_DFS Consumer Risks in Rwanda,,2/10/2025,0,1,Rwanda,0.0,Allocation,2/10/2025,,,,,,,,,,,,,
STEP SURVEY ICI,International Cocoa Initiative (ICI),Grant Proposal,STEP Survey ICI,,1/20/2025,0,1,Francophone West Africa,0.0,Allocation,1/20/2025,,,,,,,,,,,,,
JCF-24-10011: Partnerships for Technology in Education (P4T-Ed),Jacobs Foundation,Grant Award,P4T RCT - Inspiring Teachers,,9/5/2023,1,1,Ghana,1.0,External Subaward,1/12/2024,,,,,,,,,,,,,
OSF-19-10002 Peace & Recovery Competitive Fund on Homicide in Latin America,Open Society Foundations,Grant Award,Peace & Recovery Competitive Fund on Homicide in Latin America,,11/15/2018,1,1,,0.0,Allocation,7/11/2019,,,,,,,,,,,,,
ADB Formative Assessment in Primary Schools in the Philippines,Asian Development Bank (ADB),Grant Proposal,ADB Formative Assessment in Primary Schools in the Philippines,,3/14/2025,0,1,Philippines,0.0,Allocation,3/14/2025,,,,,,,,,,,,,
IDB Evaluation social cohesion in schools,Inter-American Development Bank (IDB),Grant Proposal,Evaluation of social cohesion in schools,,2/8/2025,0,1,Colombia,0.0,Allocation,2/8/2025,,,,,,,,,,,,,
WB Listening to the Philippines Survey,World Bank,Grant Proposal,World Bank Listening to the Philippines (L2PHL),,3/25/2025,0,1,Philippines,0.0,Allocation,3/25/2025,,,,,,,,,,,,,
Influencing Farmers to Pay Tax in Zambia,University of Jena,Grant Proposal,Influencing Farmers to Pay Tax in Zambia,,2/26/2025,0,1,Zambia,0.0,Allocation,2/26/2025,,,,,,,,,,,,,
"The Impacts of Adolescent Psychotherapy on Long Term Mental Health, Educational and Economic Outcomes",Abdul Latif Jameel Poverty Action Lab (J-PAL),Grant Proposal,Improving Adolescent Mental Health in Medellín,,3/5/2025,0,1,Colombia,0.0,Allocation,3/5/2025,,,,,,,,,,,,,
Empowering school leaders: Experimental evidence from Colombia,Abdul Latif Jameel Poverty Action Lab (J-PAL),Grant Proposal,Empowering school leaders Experimental evidence from Colombia,,3/5/2025,0,1,Colombia,0.0,Allocation,3/5/2025,,,,,,,,,,,,,
Agency Fund - Chatbot to prevent school dropout,The Agency Fund,Grant Proposal,DepEd Embedded Lab ML Model for School Dropout in the Philippines,,5/9/2025,0,1,Philippines,0.0,Allocation,5/9/2025,,,,,,,,,,,,,
BMG-24-10016: Generating evidence on credit innovations for women,Gates Foundation,Grant Award,Building on Credit Growth Strategies for Women MicroEntrepreneurs,,6/7/2024,1,1,,0.0,External Subaward,11/25/2024,,,,,,,,,,,,,
GWL-25-10001: Adoption of Evidence Action?s DSW ILC programs in Malawi and Uganda,GiveWell,Grant Award,Givewell_DIL_Evidence Action,Luiza Cardoso De Andrade,3/3/2025,1,1,Malawi,0.0,Allocation,5/22/2025,,,,,,,,,,,,,
J-PAL GEA: Kasama Follow Up Study,Abdul Latif Jameel Poverty Action Lab (J-PAL),Grant Proposal,KASAMA Follow-up Study,,3/14/2025,0,1,Philippines,0.0,Allocation,3/17/2025,,,,,,,,,,,,,
BMG-24-10016: Generating evidence on credit innovations for women,Gates Foundation,Grant Award,Good Reputation Expanding Access to Credit Leveraging Reputation & Soc Networks,Paul Gertler,6/7/2024,1,1,Kenya,0.0,External Subaward,11/25/2024,,,,,,,,,,,,,
EEF-25-10003 Evidence repository (Policy),Education Endowment Fund,Grant Award,Evidence Repository EEF - Ghana - CDI,,2/14/2025,1,1,,0.0,Allocation,5/2/2025,,,,,,,,,,,,,
Agency Fund: Apapacho Paternar,The Agency Fund,Grant Proposal,Gender transformative & VAC prevention Apapacho-Paternar Colombia,Jorge Cuartas,5/9/2025,0,1,Colombia,0.0,Allocation,5/9/2025,,,,,,,,,,,,,
BRACI-25-10011: BRAC AIM Tanzania Impact Evaluation,BRAC International,Grant Award,BRAC AIM Tanzania Impact Evaluation,Emma Riley,3/21/2025,1,1,Tanzania,0.0,Allocation,3/3/2025,Mahreen Mahmud,,,,,,,,,,,,
QCF-24-10001: Supporting Rigorous Research on Climate and the Environment,Quadrature Climate Foundation,Grant Award,EWS and index insurance_Bolivia,Jimena Romero,7/10/2024,1,1,LAC-Other,0.0,Internal Subaward,9/11/2024,,,,,,,,,,,,,
Restricción de celulares en escuelas,Inter-American Development Bank (IDB),Grant Proposal,RFP - Restricción de celulares en escuelas,,5/5/2025,0,1,Peru,0.0,Allocation,5/6/2025,,,,,,,,,,,,,
BMG-24-10015: Consumer Protection Research Initiative II,Gates Foundation,Grant Award,Effectiveness of consumer assistance chatbots in the Philippines,William Blackmon,5/13/2024,1,1,Philippines,0.0,Allocation,7/15/2024,Paul Adams,,,,,,,,,,,,
BMG-24-10015: Consumer Protection Research Initiative II,Gates Foundation,Grant Award,Transparency and disclosure compliance in the Philippines,William Blackmon,5/13/2024,1,1,Philippines,0.0,Allocation,7/15/2024,Paul Adams,,,,,,,,,,,,
Primary School Data Collection,World Bank,Grant Proposal,World Bank- Primary school data collection,,4/7/2025,0,1,Francophone West Africa,0.0,Allocation,4/7/2025,,,,,,,,,,,,,
"WBK-25-20174: Fragility, Conflict, and Resilience Research",World Bank,Grant Award,Fragility_ Conflict and Resilience Research in Western Côte d'Ivoire,Arthur Lagrange,4/3/2025,1,1,Francophone West Africa,0.0,Allocation,4/3/2025,,,,,,,,,,,,,
IDB-23-10059 - Evaluation of Indigenous Education (Peru),Inter-American Development Bank (IDB),Grant Award,IDB Language App and Teenage pregnancy - Kuska app,Emma Ingrid Naslund-Hadley,2/27/2023,1,1,Peru,0.0,Allocation,2/27/2023,,,,,,,,,,,,,
CNHF-24-10005: Two-Generation and Integration,Conrad N. Hilton Foundation,Grant Award,Juntos se Puede 2-gen 1v1 learning partnership (Hilton),,8/16/2024,1,1,Colombia,0.0,Allocation,12/16/2024,,,,,,,,,,,,,
CNHF-24-10005: Two-Generation and Integration,Conrad N. Hilton Foundation,Grant Award,aeioTU 2-gen 1v1 learning partnership (Hilton),,8/16/2024,1,1,Colombia,0.0,Allocation,12/16/2024,,,,,,,,,,,,,
OCEAN Partnership Grant,United Kingdom Department for International Development (DFID),Grant Proposal,Empowering Women?s Small Businesses for Sustainable Blue Economies,Rodrigo Canales,3/24/2025,0,1,Mexico,0.0,Allocation,3/24/2025,,,,,,,,,,,,,
Forest Conservation on a Budget_JPAL_MX,Massachusetts Institute of Technology (MIT),Grant Award,Forest conservation on a budget Mexico,,3/27/2025,1,1,Mexico,0.0,Allocation,3/27/2025,Seema Jayachandran,,,,,,,,,,,,
PEMS 2025-Human Trafficking in Hospitality Sector,United States Department of State,Grant Proposal,Improving Detection of Sex Trafficking through Hospitality Sector Interventions,,2/4/2025,0,1,Mexico,0.0,Allocation,2/4/2025,,,,,,,,,,,,,
PEMS 2025-InfoPre,United States Department of State,Grant Proposal,Information for Prevention of Human Trafficking in Mexico and Guatemala,,2/24/2025,0,1,Mexico,0.0,Allocation,2/4/2025,,,,,,,,,,,,,
Focused Deterrence of Human Trafficking in Mexico PEMS 2025,United States Department of State,Grant Proposal,Focused Deterrence of Human Trafficking in Mexico,,2/4/2025,0,1,Mexico,0.0,Allocation,2/4/2025,,,,,,,,,,,,,
MIT-25-20111: Extension the Peace & Recovery Initiative (MIT0019),Massachusetts Institute of Technology (MIT),Grant Award,Peace through Intergroup Contact (PIC),Solomon Z Walelign,3/1/2024,1,1,,0.0,External Subaward,3/25/2025,,,,,,,,,,,,,
Skills for the Future Program - Belice,Ministry of Education of Belize,Grant Proposal,Evaluation of Skills for the Future Program - Belize,,6/16/2025,0,1,LAC-Other,0.0,Allocation,7/11/2025,,,,,,,,,,,,,
Spencer Large Grant on Education,Spencer Foundation,Grant Proposal,Soft Skills and Music Training in Groups,,2/11/2025,0,1,Mexico,0.0,Allocation,2/11/2025,,,,,,,,,,,,,
EEF-25-10002 EEN workshop conference cost for CDI,Education Endowment Fund,Grant Award,EEN workshop conference,,4/29/2025,1,1,Francophone West Africa,0.0,Allocation,4/30/2025,,,,,,,,,,,,,
MIT-25-20111: Extension the Peace & Recovery Initiative (MIT0019),Massachusetts Institute of Technology (MIT),Grant Award,Peace & Recovery Initiative - Global Project,,3/1/2024,1,1,,0.0,Allocation,3/25/2025,,,,,,,,,,,,,
CBCD DPI,,Grant Proposal,Central Bank Digital Currency (CBDC) in Peru,,7/4/2025,0,1,Peru,0.0,Allocation,7/4/2025,,,,,,,,,,,,,
BMG-25-20360: The Impact of SACCO Membership on Women?s Economic Empowerment,Gates Foundation,Grant Award,The Impact of SACCO Membership on Women?s Economic Empowerment,Nouréini Sayouti,4/14/2025,1,1,Kenya,0.0,Allocation,7/23/2025,Cristina Clerici,Shana Warren,Perez A. Onono - okelo,,,,,,,,,,
LEAP Evaluation,Allan and Gill Gray Philanthropy,Grant Proposal,Evaluation of the Lending for Education in Africa Partnership (LEAP),Justine Burns,4/10/2025,0,1,Kenya,0.0,Allocation,4/10/2025,Phumlani Nkontwana,Celine Wuyts,,,,,,,,,,,
